actuated_joint_pos	actuated_joint_vel	actuated_joint_torque	unactuated_joint_pos	unactuated_joint_vel	unactuated_joint_torque
0.0891949	1.33	10	0.177025	2.6612	20
0.0905349	1.34	10	0.179685	2.66	20
0.0918849	1.35	10	0.182385	2.7	20
0.0932454	1.36041	10	0.185096	2.7106	20
0.0946154	1.37	10	0.187817	2.7212	20
0.0959954	1.38	10	0.190578	2.7612	20
0.0973854	1.39	10	0.193338	2.76	20
0.0987854	1.4	10	0.196138	2.8	20
0.100195	1.41	10	0.198949	2.8106	20
0.101615	1.42	10	0.20177	2.8212	20
0.103045	1.43	10	0.204631	2.8612	20
0.104485	1.44	10	0.207491	2.86	20
0.105935	1.45	10	0.210391	2.9	20
0.107396	1.46041	10	0.213302	2.9106	20
0.108866	1.47	10	0.216223	2.9212	20
0.110346	1.48	10	0.219184	2.9612	20
0.111836	1.49	10	0.222144	2.96	20
0.113336	1.5	10	0.225144	3	20
0.114846	1.51	10	0.228155	3.0106	20
0.116366	1.52	10	0.231176	3.0212	20
0.117896	1.53	10	0.234237	3.0612	20
0.119436	1.54	10	0.237297	3.06	20
0.120986	1.55	10	0.240397	3.1	20
0.122546	1.56041	10	0.243507	3.1106	20
0.124116	1.57	10	0.246629	3.1212	20
0.125696	1.58	10	0.24979	3.1612	20
0.127286	1.59	10	0.25295	3.16	20
0.128886	1.6	10	0.25615	3.2	20
0.130496	1.61	10	0.25936	3.2106	20
0.132116	1.62	10	0.262582	3.2212	20
0.133746	1.63	10	0.265843	3.2612	20
0.135386	1.64	10	0.269103	3.26	20
0.137036	1.65	10	0.272403	3.3	20
0.138697	1.66041	10	0.275713	3.3106	20
0.140367	1.67	10	0.279035	3.3212	20
0.142047	1.68	10	0.282396	3.3612	20
0.143737	1.69	10	0.285756	3.36	20
0.145437	1.7	10	0.289156	3.4	20
0.147147	1.71	10	0.292566	3.4106	20
0.148867	1.72	10	0.295988	3.4212	20
0.150597	1.73	10	0.299449	3.4612	20
0.152337	1.74	10	0.302909	3.46	20
0.154087	1.75	10	0.306409	3.5	20
0.155847	1.76041	10	0.309919	3.5106	20
0.157617	1.77	10	0.313441	3.5212	20
0.159397	1.78	10	0.317002	3.5612	20
0.161187	1.79	10	0.320562	3.56	20
0.162987	1.8	10	0.324162	3.6	20
0.164797	1.81	10	0.327772	3.6106	20
0.166617	1.82	10	0.331394	3.6212	20
0.168447	1.83	10	0.335055	3.6612	20
0.170287	1.84	10	0.338715	3.66	20
0.172137	1.85	10	0.342415	3.7	20
0.173997	1.86041	10	0.346125	3.7106	20
0.175867	1.87	10	0.349847	3.7212	20
0.177747	1.88	10	0.353608	3.7612	20
0.179637	1.89	10	0.357368	3.76	20
0.181537	1.9	10	0.361168	3.8	20
0.183447	1.91	10	0.364978	3.8106	20
0.185367	1.92	10	0.3688	3.8212	20
0.187297	1.93	10	0.372661	3.8612	20
0.189237	1.94	10	0.376521	3.86	20
0.191187	1.95	10	0.380421	3.9	20
0.193148	1.96041	10	0.384331	3.9106	20
0.195118	1.97	10	0.388253	3.9212	20
0.197098	1.98	10	0.392214	3.9612	20
0.199088	1.99	10	0.396174	3.96	20
0.201088	2	10	0.400174	4	20
0.203098	2.01	10	0.404184	4.0106	20
